claim_id,claim,claim_class,datasets,protocols,seeds,authoritative_csv,effect,ci,formal_p,multiplicity,sign_agreement,supported,inference_status,allowed_wording,forbidden_wording
P1,Moving from frozen linear probing to matched full fine-tuning changes the relative QWK difference between ImageNet-MAE and RETFound.,primary,DDR; APTOS,frozen linear probe vs full fine-tuning,"42,1,2,3,4 (common five, paired within seed)",JBHI_PRIMARY_INTERACTION.csv,DDR -0.1141; APTOS -0.0992,"DDR [-0.1548, -0.0728]; APTOS [-0.1595, -0.0397]",DDR 0.0066; APTOS 0.0370,Holm across the two domains: DDR 0.0132; APTOS 0.0370,DDR 5/5; APTOS 5/5,yes -- on both domains,statistically supported under the study's inferential framework,The large frozen-probe ImageNet-MAE advantage was substantially attenuated under matched full fine-tuning on both held-out domains. | The protocol-by-initialization interaction was statistically supported on both domains under the final two-domain Holm-adjusted analysis.,RETFound is superior under full fine-tuning. | The models are equivalent after fine-tuning. | Linear probing reverses the ranking on every domain. | This behaviour generalizes to all retinal foundation models.
S1-DDR,"Under matched full fine-tuning on DDR, ImageNet-MAE and RETFound differ in QWK.",secondary,DDR,full fine-tuning,"42,1,2,3,4",JBHI_MASTER_RESULTS.csv,-0.0439 (ImageNet-MAE minus RETFound),"[-0.0861, -0.0103]",0.1035,none (single pre-specified comparison per domain),4/5,no,not demonstrated (this is not a demonstration of equivalence),No difference between the two initialisations was demonstrated under matched full fine-tuning on DDR. The crossed uncertainty interval excludes zero while the formal seed-level test does not reject; under the study's framework the formal test governs and no difference is claimed.,The two initialisations are equivalent on DDR. | RETFound matches ImageNet-MAE after fine-tuning. | RETFound outperforms ImageNet-MAE on DDR. | Full fine-tuning eliminates the difference.
S1-APTOS,"Under matched full fine-tuning on APTOS, ImageNet-MAE and RETFound differ in QWK.",secondary,APTOS,full fine-tuning,"42,1,2,3,4",JBHI_MASTER_RESULTS.csv,+0.0083 (ImageNet-MAE minus RETFound),"[-0.0095, +0.0258]",0.3489,none (single pre-specified comparison per domain),4/5,no,not demonstrated (this is not a demonstration of equivalence),No difference between the two initialisations was demonstrated under matched full fine-tuning on APTOS.,The two initialisations are equivalent on APTOS. | RETFound matches ImageNet-MAE after fine-tuning. | Full fine-tuning eliminates the difference.
S2,"Two secondary metrics under full fine-tuning on APTOS (macro AUROC, ECE) favour ImageNet-MAE at uncorrected p<0.05.",secondary,APTOS,full fine-tuning,"42,1,2,3,4",aptos_secondary_outcomes.csv,AUROC +0.0241; ECE -0.0126 (lower ECE is better),not computed for secondary metrics,AUROC 0.0394; ECE 0.0246,none applied; nine-metric exploratory set,AUROC 4/5; ECE 5/5,no -- exploratory,descriptive only; no formal claim,"Among nine exploratory secondary metrics, macro AUROC and ECE favoured ImageNet-MAE at uncorrected p<0.05; with QWK as the pre-specified endpoint and roughly one such value expected by chance across nine metrics, neither is claimed.",ImageNet-MAE is better calibrated than RETFound. | ImageNet-MAE has significantly higher AUROC. | Secondary metrics confirm the ImageNet-MAE advantage.
D1-DDR,"Under frozen linear probing on DDR, the QWK difference favours ImageNet-MAE.",descriptive,DDR,frozen linear probe,"42,1,2,3,4,5,6,7,8,9 (ten)",JBHI_MASTER_RESULTS.csv (seed_set=all-10),+0.0626,"[+0.0440, +0.0824]",0.0000,none (descriptive),10/10,descriptive,descriptive only; no formal claim,"Under frozen linear probing on DDR the paired difference was +0.0626 QWK, favouring ImageNet-MAE (ten seeds, descriptive).",Frozen probing shows ImageNet-MAE is the better representation. | RETFound's representations are worse. | Differencing this ten-seed estimate against a five-seed adaptation estimate.
D1-APTOS,"Under frozen linear probing on APTOS, the QWK difference favours ImageNet-MAE.",descriptive,APTOS,frozen linear probe,"42,1,2,3,4,5,6,7,8,9 (ten)",JBHI_MASTER_RESULTS.csv (seed_set=all-10),+0.1134,"[+0.0787, +0.1493]",0.0001,none (descriptive),10/10,descriptive,descriptive only; no formal claim,"Under frozen linear probing on APTOS the paired difference was +0.1134 QWK, favouring ImageNet-MAE (ten seeds, descriptive).",Frozen probing shows ImageNet-MAE is the better representation. | RETFound's representations are worse. | Differencing this ten-seed estimate against a five-seed adaptation estimate.
D1-IDRiD,"Under frozen linear probing on IDRiD, the QWK difference favours RETFound.",descriptive,IDRiD,frozen linear probe,"42,1,2,3,4,5,6,7,8,9 (ten)",JBHI_MASTER_RESULTS.csv (seed_set=all-10),-0.0429,"[-0.0888, +0.0037]",0.0034,none (descriptive),9/10,descriptive,descriptive only; no formal claim,"Under frozen linear probing on IDRiD the paired difference was -0.0429 QWK, favouring RETFound (ten seeds, descriptive).",Frozen probing shows ImageNet-MAE is the better representation. | RETFound's representations are worse. | Differencing this ten-seed estimate against a five-seed adaptation estimate.
D2,"The frozen-probe direction is not uniform across held-out domains: DDR and APTOS favour ImageNet-MAE, IDRiD favours RETFound.",descriptive,DDR; APTOS; IDRiD,frozen linear probe,ten,JBHI_MASTER_RESULTS.csv,DDR +0.0626; APTOS +0.1134; IDRiD -0.0429,see master table,see master table,none (descriptive),DDR 10/10; APTOS 10/10; IDRiD 9/10,descriptive,descriptive only; no formal claim,"The direction of the frozen-probe difference was not uniform across held-out domains, favouring ImageNet-MAE on DDR and APTOS and RETFound on IDRiD.",Frozen probing consistently favours ImageNet-MAE. | ImageNet-MAE has better frozen representations than RETFound.
D3,RETFound converges earlier and overfits the source pool more than ImageNet-MAE under the shared budget.,descriptive,DDR; APTOS (source validation only),full fine-tuning,"42,1,2,3,4 per domain",full_finetune_source_validation.csv; aptos_full_finetune_source_validation.csv,early stop 10/10 RETFound vs 0/10 ImageNet-MAE; best epoch 8.6+-1.7 / 9.2+-2.6 vs 17.6+-1.5 / 18.0+-1.0; overfit ratio 2.39+-0.36 / 2.50+-0.32 vs 1.10+-0.05 / 1.14+-0.02,not applicable,not tested,none,10/10 vs 0/10,descriptive,descriptive only; no formal claim,"Under the shared fixed budget RETFound reached its best source-validation QWK roughly twice as early and early-stopped in every run, while ImageNet-MAE never early-stopped; RETFound's source-validation loss rose further above its minimum. Reported as mechanistic context.",Overfitting causes the interaction. | RETFound is more prone to overfitting in general. | The budget disadvantaged RETFound.
L1,IDRiD contributes no full fine-tuning evidence; the interaction is estimated on two domains only.,limitation,IDRiD,frozen; partial only,n/a,JBHI_RUN_ACCOUNTING.csv,0 IDRiD full-FT runs,n/a,n/a,n/a,n/a,n/a,limitation,Matched full fine-tuning was run on two of the three held-out domains; IDRiD contributes frozen and partial evidence only.,Any imputed or implied IDRiD full-FT value. | Describing the interaction as a three-domain result.
