figure,panel,source_csv,source_columns,filters,seed_set,derived_quantity,generator_function,output_png,output_pdf,SHA256
fig1_study_design,whole,(none -- schematic),,,n/a,no plotted scientific quantity; parameter count 303.3M is the asserted trainable-parameter total,figure_study_design,fig1_study_design.png,fig1_study_design.pdf,7f28564b432185afc8db83c3618a6052f4628620de4727e5efb66e398178e1a3
fig2_adaptation_depth,per-seed points,figure_qwk_by_domain_protocol_seed.csv,"domain,protocol,seed,delta","domain in {DDR,APTOS}","42,1,2,3,4",ImageNet-MAE minus RETFound QWK per seed and protocol,figure_adaptation_depth,fig2_adaptation_depth.png,fig2_adaptation_depth.pdf,074560081edbf335562a4b60814d26db74dcda658141e9641b40f970589680b5
fig2_adaptation_depth,mean bars and labels,JBHI_MASTER_RESULTS.csv,"domain,protocol,seed_set,paired_delta",seed_set == common-5,"42,1,2,3,4",mean paired delta per protocol,figure_adaptation_depth,fig2_adaptation_depth.png,fig2_adaptation_depth.pdf,074560081edbf335562a4b60814d26db74dcda658141e9641b40f970589680b5
fig3_primary_interaction,estimates and intervals,JBHI_PRIMARY_INTERACTION.csv,"domain,interaction,crossed_CI_low,crossed_CI_high,Holm_p,sign_agreement,n_test",,"42,1,2,3,4",I_full and its crossed seed x case 95% interval,figure_primary_interaction,fig3_primary_interaction.png,fig3_primary_interaction.pdf,0038a568dc133452bdcb05ce2db1c1ee41dabf91cb756767240fa22ce9f776f0
fig4_seed_interaction_slopes,per-seed slopes,figure_qwk_by_domain_protocol_seed.csv,"domain,protocol,seed,delta","protocol in {frozen,full}","42,1,2,3,4","per-seed delta at frozen and full, joined within seed",figure_seed_slopes,fig4_seed_interaction_slopes.png,fig4_seed_interaction_slopes.pdf,cb39107a74f235d2430904cee69be610ad63ae28f0acfcab0670bfc31e433146
fig4_seed_interaction_slopes,panel titles,JBHI_PRIMARY_INTERACTION.csv,"domain,interaction,sign_agreement",,"42,1,2,3,4",mean interaction and sign agreement,figure_seed_slopes,fig4_seed_interaction_slopes.png,fig4_seed_interaction_slopes.pdf,cb39107a74f235d2430904cee69be610ad63ae28f0acfcab0670bfc31e433146
fig5_full_ft_paired_qwk,paired points,figure_qwk_by_domain_protocol_seed.csv,"domain,protocol,seed,imagenet_qwk,retfound_qwk",protocol == full,"42,1,2,3,4",per-seed QWK of each arm under full fine-tuning,figure_full_ft_paired,fig5_full_ft_paired_qwk.png,fig5_full_ft_paired_qwk.pdf,277b9acfa1dd33cf21ada0d4fab866f3b8c244437b2e443d81f32428997e2981
fig5_full_ft_paired_qwk,"means, delta, CI, p",JBHI_MASTER_RESULTS.csv,"ImageNet_QWK_mean,RETFound_QWK_mean,paired_delta,crossed_CI_low,crossed_CI_high,raw_p",protocol == full and seed_set == common-5,"42,1,2,3,4",arm means and the paired difference with its interval,figure_full_ft_paired,fig5_full_ft_paired_qwk.png,fig5_full_ft_paired_qwk.pdf,277b9acfa1dd33cf21ada0d4fab866f3b8c244437b2e443d81f32428997e2981
s1_source_validation,best epoch; loss inflation; early stopping,full_finetune_source_validation.csv + aptos_full_finetune_source_validation.csv,"model,best_epoch,overfit_ratio,early_stopped",,"42,1,2,3,4 per domain",source-validation optimisation behaviour (descriptive),s1_source_validation,s1_source_validation.png,s1_source_validation.pdf,be39990fb35d025b9e416f207cf2d6007a251d5f9a5070005360bd354f29c68a
s2_domain_profile,A grade composition,table1_dataset_characteristics.csv,"Domain,Grade 0..Grade 4",,n/a,per-dataset grade distribution normalised to 100%,s2_domain_profile,s2_domain_profile.png,s2_domain_profile.pdf,6536b10e30dee566e2fd66900c37d86c067fde28e28cede52c3a60b0f529b16f
s2_domain_profile,B image size; C brightness,reports/image_statistics.csv,"domain,megapixels,brightness,readable",readable == True,n/a,distribution over the sampled image audit (400 images per domain),s2_domain_profile,s2_domain_profile.png,s2_domain_profile.pdf,6536b10e30dee566e2fd66900c37d86c067fde28e28cede52c3a60b0f529b16f
s3_configuration,"contrasts, intervals, Holm p",configuration_decomposition.csv,"contrast,target,metric,delta,ci_lower,ci_upper,p_holm,delta_seed1,delta_seed2,delta_seed42",metric == qwk,"1,2,42","batch / resolution / combined QWK contrasts, DenseNet-121",s3_configuration,s3_configuration.png,s3_configuration.pdf,734328f3ff64b129b5766320f84b4b1417d2a83c1048c57e133cf3ec9f55556e
s4_calibration,reliability curves and ECE,outputs/predictions/*__target_test[*]_predictions.csv,"true_grade,probability_grade_0..4 (temperature-scaled)","protocol in {frozen,full}; bins with <50 pooled images not drawn","42,1,2,3,4",mean reliability curve per arm; ECE from calibration_metrics,s4_calibration,s4_calibration.png,s4_calibration.pdf,81a13b2f1df5a5f0b438d98342cc360c89e3f3eab48490de31ce08c2147fb46d
s5_risk_coverage,risk-coverage curves,outputs/predictions/*__target_test[*]_predictions.csv,"true_grade,predicted_grade,probability_grade_0..4",,"42,1,2,3,4",mean risk at each coverage from risk_coverage_curve,s5_risk_coverage,s5_risk_coverage.png,s5_risk_coverage.pdf,e7f7219386f64b89358fce4d080f7442cea83446f97ff6e2af7251c5cff05c47
s6_error_pattern,confusion matrices and severe-error rate,outputs/predictions/*__target_test[*]_predictions.csv,"true_grade,predicted_grade",protocol == full,"42,1,2,3,4",row-normalised confusion pooled over seeds; severe error |t-p|>=2,s6_error_pattern,s6_error_pattern.png,s6_error_pattern.pdf,075d462eaf3d43911bf598e22b163ce9c2346e69a0800d139c6436ec7622bed4
